company_name,domain,country,source,email,phone,address,description,profile_url
Synova Health,synovahealth.com,Brazil,ichgcp,,,"146 Mário Giordano St, Paulínia, São Paulo, Brazil","Synova Health is a Full Service Contract Research Organization based out of Brazil, stemming from the country’s population pool of 210 million. We are the largest CRO in Latin America, born out of the Brazilian Bioequivalence Center CAEP and have become the “Go To” solution in the Pharma/Biotech Industry. Our well established databases, expansive networks in Technical, Scientific and Regulatory realms remain key to Brazil’s Clinical Trial Potential. Our global team of professionals are driven to facilitate and expedite the process of worldwide drug development. We strive to improve quality of life by reducing time to market while assuring the highest standards. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/brazil/company/synova
A-Pharma s.r.o.,a-pharma.cz,Czech Republic,ichgcp,office@a-pharma.cz,420  251  081  230,"A-Pharma s.r.o.,K Ohradě 528/2, 155 00 Prague 5","A-Pharma – A Leading Private CRO in The Czech and Slovak Republic (EU) A-Pharma is a privately owned Czech CRO (Contract research organization) founded in 1996. The company can offer complete services on the field of clinical trials, medical devices, drug registration, data management, biostatistics, quality assurance including GCP auditing, translations of medical text and GCP trainings. Our company is located in Prague, the Capital of the Czech Republic and  we are active in Czech and Slovak Republic. A-Pharma  is a leading private CRO in the Czech Republic.Performance of clinical trials is a major activity of the company. There have been more than 150 clinical trials performed or in progress since its foundation. A-Pharma is co-operating with many pharmaceutical, biotechnology, medical device companies and CRO’s as well. List of CROs by location Europe North America Asia Africa",https://ichgcp.net/cro-list/country/czech_republic/company/a_pharma_sro
Cepha,cepha.cz,Czech Republic,ichgcp,bazant@cepha.cz,420  267  915  927,es,"CEPHA s.r.o. - Center for Pharmacology and Analysis - has been founded in 1992 by a group of scientists with extensive experience in clinical research, pharmacology, statistics, analytical chemistry and regulatory affairs as the first independent, privately held Contract Research Organization (CRO) in former Czechoslovakia. Since early 1993, the company came into operation, CEPHA has established its reputation for conducting high-quality, time and cost effective bioequivalence and bioavailability studies. In May 2000, the company has moved to new facility in Pilsen with 1000 m2 Phase I Clinic, Bioanalytical laboratory and headquarters offices. In May 2004, both the lab and clinical facilities have been enlarged up to 1300 m2 in total. In October 2008, the second clinical unit with 6 hospital beds for Phase I trials was launched. Currently, CEPHA is the leading CRO in the Czech Republic providing a broad range of clinical research services. When you work with us, you enjoy the personal ",https://ichgcp.net/cro-list/country/czech_republic/company/cepha
"Institute of Biostatistics and Analyses, Ltd.",biostatistika.cz,Czech Republic,ichgcp,info@biostatistika.cz,+420515915101,"Poštovská 68/3, 602 00 Brno, Czech Republic GPS: 49.1947794N, 16.6103747E","Our vision is HEALTHY DATA. We manage and analyze data in clinical research projects, which we also help to organize. We have developed our own solution for data collection, namely the so-called electronic-data-capture system CLADE-IS, which contains a module for risk-based monitoring based on machine learning algorithms. We were established as a spin-off of Masaryk University and succeed in transferring the results of research and development from the academic sphere to the application in society. Our services: Contract clinical research and health registries Real-world evidence/data (RWE/RWD), market access and market research services Clinical data management Pharmacovigilance Data analysis IT services",https://ichgcp.net/cro-list/country/czech_republic/company/institute_of_biostatistics_and_analyses_ltd
ANTAEA Medical Services,antaea.com,Egypt,ichgcp,,20222679903,"11 Mostafa Refaat Street,Heliopolis, Cairo 11361,Square 1154, Sheraton Buildings","ANTAEA selected its name after the Greek goddess Antaea. According to mythology, she was the one who existed even before the 12 Hellenic Olympic gods, who was the esoteric Mother of all immortal gods and mortal human beings, and helped the world in ages of diseases and starvation. By choosing this name, we wish to express our commitment to the society as well as our desire to help others to enjoy life in good health. By converting our experience and expertise into tangible results, we materialize our commitment and drive to provide tailored, flexible, full-scale clinical trial and bioequivalence study solutions as well as educational activities and consulting services related to clinical research.Our Mission is to provide high quality services to healthcare professionals, both Pharmaceutical and Biotechnology Companies and Physicians. For us at ANTAEA, our priority is to serve our Client. We understand that each client and each project has specific needs and requirements. Our key asset",https://ichgcp.net/cro-list/country/egypt/company/antaea_medical_services
ClinMax,clinmax.net,Egypt,ichgcp,info@clinmax.net,20  10  67  62  58  02,"Green Tower, 3rd & 4th Floors, Plot number 305, 90th Street, Fifth Settlement, New Cairo, Egypt","ClinMax is a fast growing Contract Research Organization specialized in Clinical Trials Management, covering all clinical trial phases including Phase ""I"" through Phase ""IV"", Registries and Clinical Surveys. Our Expertise, Systems and collaborative team experience enables us to provide our clients the ultimate globally identified industry quality. As ""Timely Projects Delivery"" is one of the main global industry challenges, ClinMax is committed to INCOMPARABLE adherence to contracted projects timelines. Having a wide spectrum industry associated services; this serves as outstanding supporting tools that are incorporated in ClinMax trial execution. List of CROs by location Europe North America Asia Africa South America",https://ichgcp.net/cro-list/country/egypt/company/clinmax
ClinProve-CRO,clinprove.com,Egypt,ichgcp,info@clinprove.com,+20222870039,"90 Ahmed Al Zomor Street, Nasr City, Cairo","ClinProve-CRO is a full-service contract research organization (CRO). We offer a suite of biopharmaceutical services that enables our clients around the globe to speed up the process of turning scientific discoveries into new treatments. From clinical trials to regulatory services, scientific advisory, pharmacovigilance and training modules, the strength of our organization is backed by a firm belief in the importance of what we do. Working at the heart of bringing important drugs to the patients who need them, we recognize that good science takes more than just brains. It requires patience, persistence, and a drive to change the world for us all. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/egypt/company/clinprove_cro
DataClin,dataclin.com,Egypt,ichgcp,info@dataclin.com,(+202) 3761 7301  (+202) 3761 7302,"38 Gamal Salem St. Mossadak, Dokki, Giza – Egypt","DataClin is a regional contract research organization (CRO) established in 2010 covering the whole Middle East & Africa (MEA) Region providing full-service including clinical data management, biostatistics, medical writing, clinical operations, pharmacovigilance, medical information, and real-world evidence (RWE) services, in addition to medical affairs, training, quality assurance and auditing services. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/egypt/company/dataclin
GRC Genuine Research Center,grcegypt.com,Egypt,ichgcp,info@grc-me.com,+20224514516,"50 El Khalifa El Mamoon street, Heliopolis 11757, Cairo, Egypt","*GRC is the first private sector Egyptian Bioequivalence center and full service CRO licensed from Egyptian MOH: Bioequivalence studies. Clinical trials management. Pharmacovigilance services. * GRC is committed to exceeding the needs and expectations of our clients by providing innovative, professional, and superior quality service, with integrity, professionalism, and reliability. List of CROs by location Europe North America Asia Africa",https://ichgcp.net/cro-list/country/egypt/company/grc
Argint International Clinical Research and Development Services (Argint),argintinternational.com,Hungary,ichgcp,enquiry@argintinternational.com,36  70  320  2870,"Bölöni György u. 22,1021, Budapest","Argint International Clinical Research and Development Services (Argint) is recognized as a leading regional CRO, providing clinical research services throughout Europe, but with a primary focus on Central and South Eastern Europe (CEE). Argint is focused on providing tailor made full-service solutions to small and medium sized biotech companies, partnering clients as they bring their drug candidates or devices into the clinical phase. Argint supports the planning and execution of our client’s development programs: from initial consultancy through phase I, POC and larger phase II and phase III studies. We provide a ‘one-stop shop’ for all clinical outsourcing needs in Europe. In September 2018, Argint joined Precision for Medicine, part of Precision Medicine Group, with more than 1,450 employees in 25 locations in the US, Canada, and Europe. Precision’s integrated set of capabilities across global clinical trial execution, sophisticated biomarker and specialty lab solutions will now be",https://ichgcp.net/cro-list/country/hungary/company/argint_international_clinical_research_and_development_services_argint
Clin Trial Limited,clintrial.hu,Hungary,ichgcp,mail@clintrial.hu,00  36  52  413407,es,"ClinTrial Ltd. Contract Research Organisation was founded in 2001 by Hungarian clinical research professionals with the intent to be reliable partners for Hungarian and international CROs, pharmaceutical companies and hospitals in conducting clinical and non-clinical trials and projects. A flexible and trustworthy contractor, ClinTrial Ltd. provides a wide range of clinical research services to Hungarian and international CROs, pharmaceutical companies, and hospitals. The company offers the working contribution of highly trained contract monitors (CRAs) with clinical trials experience. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/hungary/company/clin_trial_limited
HungaroTrial,hungarotrial.hu,Hungary,ichgcp,info@hungarotrial.com,+36  1  203  21  34,"Fehervari ut 89-95, 1119 Budapest, Hungary","When your clinical trial has to Overachieve in Central and Eastern Europe, HungaroTrial is here to help. Providing services for Phase 1 through Phase 4 clinical trials in Hungary, Czech Republic, Slovakia, Romania, Serbia, Croatia, Bulgaria, Bosnia, Poland, Ukraine, Belgium and Russia, HungaroTrial is the CEE region’s leading independent CRO. To Overachieve, your clinical trial needs the best minds from beginning to end. That’s why Hungarotrial’s full-time staff includes 12 MDs of various specialties,more than any other independent CRO in the region. And you can be assured that our experienced team has built strong relationships with the most respected Key Opinion Leaders in CEE. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/hungary/company/hungarotrial
Pharmahungary,pharmahungary.com,Hungary,ichgcp,businessdevelopment@pharmahungary.com,36  1  2427643,"Pharmahungary Group, Graphisoft Park, 7 Záhony street, Budapest, H-1031","providing wide range of innovative and cost-effective preclinical pharmacology R&D services focusing on but not limited to cardiovascular (infarction, heart failure, stroke, sepsis, arrhythmias, etc) metabolic diseases (diabetes, dyslipidemia, atherosclerosis, obesity, uremia, etc), renal, and inflammation indications with strong scientific support clinical R&D services focusing on full management of clinical trials with Medical Devices, Advanced Therapeutic Medicinal Products, Investigator Initiated Trials, and clinical trials that need strong regulatory & scientific support with e.g. sensitive patient population to manage internal R&D projects to develop new technologies for out-licensing and co-development in the fields of diagnosis and therapy of cardiovascular and metabolic disease List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/hungary/company/pharmahungary
Research Professionals,rp-cro.com,Hungary,ichgcp,contact@rp-cro.com,+36 1 452 6100,"Soroksári út 44. II. em., Budapest 1095","Research Professionals offers comprehensive CRO services for a wide range of pharmaceutical and medical device clinical studies. Having access to the region’s leading study sites, an exceptional Principal Investigator (PI) network, Research Professionals has a proven track record of managing studies both large and small. With more than 150 experienced and dedicated staff, Research Professionals brings direct experience in successfully managing over 75 major studies in more than 15 therapeutic areas. As we continue to innovate, we have added a unique approach to decentralized study services in addition to our core clinical research studies. We do all of this while maintaining the highest standards and meeting current regulations in order to deliver only high-quality clinical research studies to our global customer base. Based in Central and Eastern Europe (CEE), Research Professionals applies its experience, knowledge and technology to help clients to complete studies faster and more co",https://ichgcp.net/cro-list/country/hungary/company/research_professionals
Szasz&Co. Bt,szaszcro.eu,Hungary,ichgcp,,+36203321142,"Radvanyi u. 4/b. Szekesfehervar, 8000-Hungary","Szász&Co. Bt is a privately owned boutique Clinical Research Organization located in the central region of Hungary. We are providing multimodal services for our pharmaceutical, biotechnology and medical device partners throughout development of the newest medical therapies. The main focus of company is to provide scientific and technical assistance and monitoring services for our clients to conduct their clinical trials successfully in Hungary, starting from site selection until site closure. We have an excellent working relationship with investigators in numerous therapeutic areas. Our philosophy is to ensure that we work pursuing the highest quality standards for human health. Our main ambition is to assist our clients to carry out clinical trials successfully from concept to completion. You will receive undivided attention, stable timelines and predictable expenses for your project. We have close to 15 years experience in global monitoring of phase I-IV clinical trials and device st",https://ichgcp.net/cro-list/country/hungary/company/szaszco_bt
Abiogenesis Clinpharm,abiogenesisclinpharm.com,India,ichgcp,pawanbhusari@abiogenesisclinpharm.com,+919000003437,"2nd Floor, Plot No 69, D No. 8-2-248/1/7/69,  Nagarjuna Hills, Punjagutta, Hyderabad-500082, Telangana, India","Abiogenesis Clinpharm has been helping pharmaceutical companies transform their ideas and concepts into successful products. We are a highly focused team of professionals who understand how to prepare, manage and conduct clinical trials. Our core activities include Clinical Operations, Data Management Pharmacovigilance, Biostatistics and SAS Programming, Regulatory Affairs, Medical and Allied Services, Quality Assurance and Audit, FSP and PK/PD. We work with sponsors across all industries, phases, and sizes. Abiogenesis Clinpharm scales to the situation. As a midsize CRO, Abiogenesis Clinpharm offers a complete range of services with personalized attention and flexibility. The relationships, we create with our sponsors produce positive, tangible results. Abiogenesis Clinpharm Private Limited is an Asia focus Clinical Research Organization (CRO). Our research wing helps clients in Clinical Trials of Drugs, Medical Devices, Vaccines, Biosimilar, Nutraceuticals and Herbal Products. Our ex",https://ichgcp.net/cro-list/country/india/company/abiogenesis_clinpharm
Accelsiors,accelsiors.com,India,ichgcp,bdglobal@accelsiors.com,(91)  124-4309016,"A1/17 Safdarjang Enclave, New Delhi -110029 Other Accelsiors's locations around the world","Accelsiors is a scientifically-driven CRO committed to serving the needs of its Sponsors with the highest level of quality. We provide a full array of services and pride ourselves on having ready access to treatment naive patient populations. From consulting with you on the optimal design of your protocol to providing a final CSR, and all services in between; we are here to help. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/accelsiors
Accutest Global,accutestglobal.com,India,ichgcp,business@accutestglobal.com,91-22-2778  0718/19,"A-31, Khairne MIDC, TTC Industrial Area,Khairne, Navi Mumbai-400 709.","Accutest is a global independent and internationally accredited Contract Research Organisation (“CRO”) founded in 1998. We are offering services to customers around the world with operations in India, across Asia, and in Brazil. Accutest is the market leader amongst independent CROs, with the highest quality standards and quick turnaround times. We have a strong regulatory track record and numerous accreditations/approvals from global regulatory agencies. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/accutest_global
Actimus Bio,actimusbio.com,India,ichgcp,info@actimusbio.com,91-9963551919,es,"Actimus Biosciences as a knowledge based CRO, was established in the year 2005. The facilities are located in Visakhapatnam, Andhra Pradesh, India. We pride ourselves by providing most reliable and quality services to pharmaceutical companies in their pursuit of efficient drug development which can be translated to better and affordable patient treatments. Our innovative approaches to the Sponsors’ needs make us unique among the CROs. Led by a management team of highly committed, qualified & experienced industry leaders, we have been relentlessly supporting biotech and pharmaceutical companies around the world in their pursuit of drug development. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/india/company/actimus_bio
APCER Life Sciences,apcerls.com,India,ichgcp,,(91)  11  4650  0802,"B1/F2 Mohan Cooperative Industrial Estate, Mathura Road, New Delhi 110 044 Other APCER Life Sciences's locations around the world","APCER Life Sciences is committed to improving health in partnership with its clients. We bring together safety, medical, regulatory, and technology resources to ensure that patients receive the safest, most effective therapies possible. To achieve this mission, we’ve built a strong foundation. Our global infrastructure of scientific and medical experts, supported by integrated processes and regulatory-compliant technology systems, has proven to be responsive and scalable through exponential growth since our founding in 2007. List of CROs by location Europe North America Asia Africa South America Oceania Regulations",https://ichgcp.net/cro-list/country/india/company/apcer_life_sciences
Asiatic Clinical Research,asiaticlinical.com,India,ichgcp,,,"169/53, 14th Main,Road, 1st Block East,Jayanagar, Bangalore 560 011","Asiatic Clinical Research is a full service clinical research organization (CRO) headquartered in Bangalore, India. We focus on Phase II - IV clinical trial support to pharmaceutical, biotechnology and medical device companies. Our strength is in strategizing what is exactly needed for your clinical trial by conducting a good literature search, providing world class facilities, KOL in specific indications treatment naïve patient pools. Asiatic has access to ICH-GCP trained sites in metros and tier II cities List of CROs by location Europe North America Asia Africa South America Oceania",https://ichgcp.net/cro-list/country/india/company/asiatic_clinical_research
Astron Research,astron-research.com,India,ichgcp,,91-79-2685  3518,"10th Floor, Premier House, Opp. Gurudwara,Sarkhej-Gandhinagar Highway, Bodakdev,Ahmedabad - 380054, Gujarat Other Astron Research's locations around the world","Astron Research Limited, a leading IP oriented pharma contract research organization, is a fast growing Pharma Contract Research Organisation (CRO) with a strong quest to deliver best services to the rapidly growing Healthcare industry and has embarked its presence as a prominent global CRO. The Company was established in the year 2001 with an objective to provide prompt and reliable services to Pharma sector worldwide and improve the product quality with the help of Technological Innovations and Upgradations. Astron commenced its UK operations in 2004 for Quality Testing and QP Release of finished formulations and API. This facility is now UK-MHRA approved. The Company has products and technology are sold in over 50 countries, which includes European Union, US, Canada Australia, New Zealand, South Africa, Brazil, Mexico, Middle East & North African countries. 45 ANDAs filed in US and 64 EU CTD dossiers developed till 2010. The Global turnover registered a growth of 40% in the current ",https://ichgcp.net/cro-list/country/india/company/astron_research
Catalyst Clinical Services,catalystclinicalservices.com,India,ichgcp,info@catalystclinicalservices.com,91-9818356273   91-8826806862,"Unit No. 11, Block-D1,First Floor, CSC-12, Sector-16, Rohini,Delhi - 110085,","Catalyst Clinical Services Pvt. Ltd. is a Contract Research Organization that acts as a strategic partner to the healthcare organizations (Pharma/Biotech companies, Research and Academic Institutions) making them winner by building on their core competence and empowering them to counter threats. The primary focus area is Clinical Trials Management and Execution, Medical Writing, Independent Auditing and Clinical Research Training. With regards to clinical research and pharmacovigilance training, Catalyst has made pioneering initiatives and has established itself as India's largest clinical research and pharmacovigilance training providers both in terms of numbers as well as geographical reach. The contract clinical research services of Catalyst have been widely appreciated by the key stakeholders at National as well as International level. Our key strengths include service excellence, total quality management, strict adherence and compliance to GCP guidelines, cost effectiveness and th",https://ichgcp.net/cro-list/country/india/company/catalyst_clinical_services
Clinexa,clinexa.com,India,ichgcp,,+91.80.4647.3435,"Golden Square, 2nd floor # 579, 32nd D Cross Road, 10th Main Rd, 4th Block, Jayanagar, Bengaluru 560011 Other Clinexa's locations around the world","At Clinexa, we are in a constant pursuit to identify the best ways to pass value to our clients. We challenge ourselves and our stakeholders to create new and innovative models that take into consideration the needs of today’s clinical development needs. Traditional one-stop-shop model has potential to increase costs and decrease the availability of the best people for each project due to internal prioritization of projects and clients. At Clinexa, we rely on a critical mass on internal resource and bring together a top-class team for each project. We believe that working through this mix of expert people and partners, a project can be delivered with the highest quality and much lower cost as compared to the traditional large CRO model. We provide our clients with personalized services and tailored solutions that are unique to the needs of that client and project. We partner with our clients to integrate into their clinical development team and make use of the combined team in a way th",https://ichgcp.net/cro-list/country/india/company/clinexa
Clinical Site Services (CSS),cssienroll.com,India,ichgcp,,,"G-A, ""Hyndava Techno Park"",Plot No. 12,Survey No. 64,Hitec City, Phase 2,Madhapur,Hyderabad - 500081 Other Clinical Site Services (CSS)'s locations around the world","CSSi was founded in 2005 as Clinical Site Services to serve individual sites with their patient recruitment needs, later expanding into a major global centralized patient recruitment company. A leader in the industry, CSSi delivers strategic patient recruitment and enrollment solutions to study sponsors, CROs, SMOs, and research sites drawing from it's vast experience of: Over 13 years of developing and implementing clinical trial patient recruitment, enrollment and retention programs Leadership averaging over 20 years in dedicated patient recruitment experience Strategic planning and execution of recruitment campaigns in more than 20 therapeutic areas Assisting more than 3,000 geographically-dispersed research sites worldwide Planning and purchasing over $125 million in enrollment budgets Partnering with many of the top pharmaceutical companies, CROs, SMOs, and research sites CSSi's in-house patient recruitment team brings to you years of patient enrollment knowledge across all discip",https://ichgcp.net/cro-list/country/india/company/clinical_site_services_css
CliniExperts Research Services Pvt Ltd.,cliniexperts-research.com,India,ichgcp,contact@cliniexperts-research.com,+91 76720 05050,es,"CliniExperts Research Services a prominent Indian CRO with a decade of experience, leads in clinical research. Our expertise spans clinical trials, biometrics, and regulatory approvals, with a focus on drugs, Medica Devices, IVDs, Biologicals, and vaccines. ISO 9001 and ISO 27001 certifications underline our unwavering dedication to quality, ethics, safety, and standards. List of CROs by location Europe North America Asia Africa South America Oceania Regulations Resources",https://ichgcp.net/cro-list/country/india/company/cliniexperts_research_services_pvt_ltd
CliniRx,clinirx.com,India,ichgcp,reachus@clinirx.com,91-11-33001112,"4 th Floor, Patriot House, 3 BSZ Marg,New Delhi-110002 Other CliniRx's locations around the world","CliniRx is a full service mid-size CRO that provides comprehensive end- to- end solutions for clinical studies. CliniRx’s services include Phase II –III and late Phase (Phase IV) across numerous therapeutic areas and specialties.These specialty areas include advanced therapies, geriatric population, pediatrics, and rare disease/orphan disease indications. CliniRx offers it’s services to Pharmaceutical, Biotechnology, and Medical Device companies. CliniRx’s rich talent available in-house is supplemented by independent external advisors, who can add value to our work. This is why, we have a network of external advisors and preferred partners. CliniRx conducts clinical trials in USA, Europe and Asia with offices located in India and USA. CliniRx is an affiliate of JK Organisation(www.jkorg.in), an over 125-years-old business conglomerate with leadership across multiple sectors and offices in 88 countries, many of which are public companies. The JK organisation is headquartered in India an",https://ichgcp.net/cro-list/country/india/company/clinirx
